year,population_type_std,time_series_sum,persons_of_concern_long_sum,absolute_difference
1994,Stateless persons,,0.0,0.0
1995,Asylum-seekers,,0.0,0.0
1995,IDPs,4286690.0,4286690.0,0.0
1995,Others of concern,,0.0,0.0
1995,Refugees,14896087.0,14896087.0,0.0
1995,Returned IDPs,,0.0,0.0
1995,Returned refugees,1052486.0,1052486.0,0.0
1995,Stateless persons,,0.0,0.0
1996,Asylum-seekers,,0.0,0.0
1996,IDPs,4853712.0,4853712.0,0.0
1996,Others of concern,,0.0,0.0
1996,Refugees,13357087.0,13357087.0,0.0
1996,Returned IDPs,,0.0,0.0
1996,Returned refugees,2044784.0,2044784.0,0.0
1996,Stateless persons,,0.0,0.0
1997,Asylum-seekers,,0.0,0.0
1997,IDPs,4573112.0,4573112.0,0.0
1997,Others of concern,1404100.0,1404100.0,0.0
1997,Refugees,12015350.0,12015350.0,0.0
1997,Returned IDPs,100282.0,100282.0,0.0
1997,Returned refugees,900468.0,900468.0,0.0
1997,Stateless persons,,0.0,0.0
1998,Asylum-seekers,,0.0,0.0
1998,IDPs,5063880.0,5063880.0,0.0
1998,Others of concern,1378545.0,1378545.0,0.0
1998,Refugees,11480860.0,11480860.0,0.0
1998,Returned IDPs,207242.0,207242.0,0.0
1998,Returned refugees,1009961.0,1009961.0,0.0
1998,Stateless persons,,0.0,0.0
1999,Asylum-seekers,,0.0,0.0
1999,IDPs,3968648.0,3968648.0,0.0
1999,Others of concern,1491144.0,1491144.0,0.0
1999,Refugees,11687226.0,11687226.0,0.0
1999,Returned IDPs,1048387.0,1048387.0,0.0
1999,Returned refugees,1588467.0,1588467.0,0.0
1999,Stateless persons,,0.0,0.0
2000,Asylum-seekers,947926.0,947926.0,0.0
2000,IDPs,5998501.0,5998501.0,0.0
2000,Others of concern,1653851.0,1653851.0,0.0
2000,Refugees,12129572.0,12129572.0,0.0
2000,Returned IDPs,369055.0,369055.0,0.0
2000,Returned refugees,763572.0,763572.0,0.0
2000,Stateless persons,,0.0,0.0
2001,Asylum-seekers,943980.0,943980.0,0.0
2001,IDPs,5096502.0,5096502.0,0.0
2001,Others of concern,1039516.0,1039516.0,0.0
2001,Refugees,12116835.0,12116835.0,0.0
2001,Returned IDPs,240950.0,240950.0,0.0
2001,Returned refugees,453853.0,453853.0,0.0
2001,Stateless persons,,0.0,0.0
2002,Asylum-seekers,1093824.0,1093824.0,0.0
2002,IDPs,4646641.0,4646641.0,0.0
2002,Others of concern,953323.0,953323.0,0.0
2002,Refugees,10594055.0,10594055.0,0.0
2002,Returned IDPs,1179038.0,1179038.0,0.0
2002,Returned refugees,2411781.0,2411781.0,0.0
2002,Stateless persons,,0.0,0.0
2003,Asylum-seekers,996488.0,996488.0,0.0
2003,IDPs,4181701.0,4181701.0,0.0
2003,Others of concern,905344.0,905344.0,0.0
2003,Refugees,9592795.0,9592795.0,0.0
2003,Returned IDPs,237798.0,237798.0,0.0
2003,Returned refugees,1093312.0,1093312.0,0.0
2003,Stateless persons,,0.0,0.0
2004,Asylum-seekers,885249.0,885249.0,0.0
2004,IDPs,5426539.0,5426539.0,0.0
2004,Others of concern,597044.0,597044.0,0.0
2004,Refugees,9573397.0,9573397.0,0.0
2004,Returned IDPs,146516.0,146516.0,0.0
2004,Returned refugees,1431926.0,1431926.0,0.0
2004,Stateless persons,1455860.0,1455860.0,0.0
2005,Asylum-seekers,802174.0,802174.0,0.0
2005,IDPs,6616791.0,6616791.0,0.0
2005,Others of concern,960366.0,960366.0,0.0
2005,Refugees,8661994.0,8661994.0,0.0
2005,Returned IDPs,519430.0,519430.0,0.0
2005,Returned refugees,1105395.0,1105395.0,0.0
2005,Stateless persons,2383651.0,2383651.0,0.0
2006,Asylum-seekers,741291.0,741291.0,0.0
2006,IDPs,12794268.0,12794268.0,0.0
2006,Others of concern,1045409.0,1045409.0,0.0
2006,Refugees,9877703.0,9877703.0,0.0
2006,Returned IDPs,1864171.0,1864171.0,0.0
2006,Returned refugees,710609.0,710609.0,0.0
2006,Stateless persons,5805943.0,5805943.0,0.0
2007,Asylum-seekers,741110.0,741110.0,0.0
2007,IDPs,13740317.0,13740317.0,0.0
2007,Others of concern,68615.0,68615.0,0.0
2007,Refugees,11390930.0,11390930.0,0.0
2007,Returned IDPs,2070118.0,2070118.0,0.0
2007,Returned refugees,728166.0,728166.0,0.0
2007,Stateless persons,2938541.0,2938541.0,0.0
2008,Asylum-seekers,825043.0,825043.0,0.0
2008,IDPs,14442227.0,14442227.0,0.0
2008,Others of concern,166856.0,166856.0,0.0
2008,Refugees,10489812.0,10489812.0,0.0
2008,Returned IDPs,1361436.0,1361436.0,0.0
2008,Returned refugees,589441.0,589441.0,0.0
2008,Stateless persons,6573466.0,6573466.0,0.0
2009,Asylum-seekers,989169.0,989169.0,0.0
2009,IDPs,15628057.0,15628057.0,0.0
2009,Others of concern,411698.0,411698.0,0.0
2009,Refugees,10396538.0,10396538.0,0.0
2009,Returned IDPs,2229540.0,2229540.0,0.0
2009,Returned refugees,247580.0,247580.0,0.0
2009,Stateless persons,6559573.0,6559573.0,0.0
2010,Asylum-seekers,837445.0,837445.0,0.0
2010,IDPs,14697804.0,14697804.0,0.0
2010,Others of concern,1255579.0,1255579.0,0.0
2010,Refugees,10549681.0,10549681.0,0.0
2010,Returned IDPs,2923233.0,2923233.0,0.0
2010,Returned refugees,171179.0,171179.0,0.0
2010,Stateless persons,3463070.0,3463070.0,0.0
2011,Asylum-seekers,897021.0,897021.0,0.0
2011,IDPs,15473378.0,15473378.0,0.0
2011,Others of concern,1411848.0,1411848.0,0.0
2011,Refugees,10404804.0,10404804.0,0.0
2011,Returned IDPs,3245804.0,3245804.0,0.0
2011,Returned refugees,530960.0,530960.0,0.0
2011,Stateless persons,3477101.0,3477101.0,0.0
2012,Asylum-seekers,942797.0,942797.0,0.0
2012,IDPs,17670368.0,17670368.0,0.0
2012,Others of concern,1329607.0,1329607.0,0.0
2012,Refugees,10497957.0,10497957.0,0.0
2012,Returned IDPs,1545486.0,1545486.0,0.0
2012,Returned refugees,525180.0,525180.0,0.0
2012,Stateless persons,3335777.0,3335777.0,0.0
2013,Asylum-seekers,1164450.0,1164450.0,0.0
2013,IDPs,23925555.0,23925555.0,0.0
2013,Others of concern,836100.0,836100.0,0.0
2013,Refugees,11699279.0,11699279.0,0.0
2013,Returned IDPs,1356182.0,1356182.0,0.0
2013,Returned refugees,413619.0,413619.0,0.0
2013,Stateless persons,3469278.0,3469278.0,0.0
2014,Asylum-seekers,1804465.0,1804465.0,0.0
2014,IDPs,32274619.0,32274619.0,0.0
2014,Others of concern,1052767.0,1052767.0,0.0
2014,Refugees,14385316.0,14385316.0,0.0
2014,Returned IDPs,1822591.0,1822591.0,0.0
2014,Returned refugees,126823.0,126823.0,0.0
2014,Stateless persons,3492263.0,3492263.0,0.0
2015,Asylum-seekers,3224966.0,3224966.0,0.0
2015,IDPs,37494172.0,37494172.0,0.0
2015,Others of concern,870740.0,870740.0,0.0
2015,Refugees,16111285.0,16111285.0,0.0
2015,Returned IDPs,2317314.0,2317314.0,0.0
2015,Returned refugees,201415.0,201415.0,0.0
2015,Stateless persons,3687764.0,3687764.0,0.0
2016,Asylum-seekers,2716578.0,2716578.0,0.0
2016,IDPs,36627127.0,36627127.0,0.0
2016,Others of concern,803009.0,803009.0,0.0
2016,Refugees,17183525.0,17183525.0,0.0
2016,Returned IDPs,6511144.0,6511144.0,0.0
2016,Returned refugees,552134.0,552134.0,0.0
2016,Stateless persons,3242196.0,3242196.0,0.0
