year,host_country_std,host_iso3,value_observed,source_rows
2016,Angola,AGO,45668.0,34
2016,Libya,LBY,38517.0,19
2016,Denmark,DNK,36349.0,75
2016,Spain,ESP,33105.0,142
2016,Israel,ISR,32902.0,7
2016,Bulgaria,BGR,32761.0,44
2016,Burkina Faso,BFA,32662.0,13
2016,Malawi,MWI,30400.0,12
2016,Djibouti,DJI,25843.0,13
2016,Somalia,SOM,24466.0,14
2016,Finland,FIN,23259.0,91
2016,Panama,PAN,21737.0,33
2016,Liberia,LBR,20461.0,9
2016,Japan,JPN,19014.0,34
2016,Armenia,ARM,17941.0,13
2016,Mali,MLI,17809.0,15
2016,Senegal,SEN,17763.0,40
2016,Mozambique,MOZ,17629.0,14
2016,Cyprus,CYP,17415.0,66
2016,Croatia,HRV,15297.0,26
2016,Poland,POL,14985.0,57
2016,Indonesia,IDN,14358.0,44
2016,Togo,TGO,13243.0,21
2016,Ghana,GHA,13201.0,41
2016,Nepal,NPL,12650.0,12
2016,Central African Republic,CAF,12397.0,16
2016,Zimbabwe,ZWE,10032.0,22
2016,El Salvador,SLV,9836.0,6
2016,Ukraine,UKR,9696.0,84
2016,Ireland,IRL,9618.0,123
2016,Papua New Guinea,PNG,9530.0,8
2016,Mexico,MEX,8754.0,54
2016,South Korea,KOR,8578.0,78
2016,Guinea-Bissau,GNB,8467.0,10
2016,Malta,MLT,8134.0,43
2016,Gambia,GMB,7936.0,8
2016,Costa Rica,CRI,7530.0,41
2016,Hungary,HUN,7085.0,65
2016,Argentina,ARG,6760.0,79
2016,Morocco,MAR,6666.0,39
2016,Peru,PER,5928.0,32
2016,Guinea,GIN,5156.0,12
2016,Honduras,HND,4821.0,4
2016,Chile,CHL,4464.0,29
2016,Luxembourg,LUX,4101.0,67
2016,Czechia,CZE,3996.0,66
2016,Namibia,NAM,3439.0,19
2016,Tajikistan,TJK,3150.0,3
2016,Albania,ALB,2861.0,6
2016,Romania,ROU,2822.0,31
2016,Botswana,BWA,2813.0,20
2016,Gabon,GAB,2792.0,18
2016,Belize,BLZ,2427.0,5
2016,Georgia,GEO,2392.0,23
2016,Eritrea,ERI,2366.0,6
2016,Portugal,PRT,1934.0,46
2016,Belarus,BLR,1841.0,16
2016,Nigeria,NGA,1801.0,28
2016,Côte d'Ivoire,CIV,1746.0,23
2016,Kuwait,KWT,1697.0,19
2016,United Arab Emirates,ARE,1488.0,10
2016,Azerbaijan,AZE,1404.0,15
2016,Dominican Republic,DOM,1365.0,8
2016,New Zealand,NZL,1252.0,49
2016,Sri Lanka,LKA,1168.0,12
2016,Lithuania,LTU,1130.0,22
2016,Eswatini,SWZ,1082.0,13
2016,Montenegro,MNE,1028.0,10
2016,Benin,BEN,1018.0,10
2016,Slovakia,SVK,989.0,15
2016,Kazakhstan,KAZ,780.0,8
2016,Bolivia,BOL,761.0,7
2016,Slovenia,SVN,728.0,22
2016,Sierra Leone,SLE,683.0,3
2016,Oman,OMN,676.0,4
2016,Tunisia,TUN,661.0,14
2016,Nicaragua,NIC,653.0,7
2016,Nauru,NRU,651.0,13
2016,North Macedonia,MKD,639.0,4
2016,Philippines,PHL,624.0,29
2016,Uruguay,URY,611.0,15
2016,Colombia,COL,584.0,17
2016,Latvia,LVA,446.0,19
2016,Moldova,MDA,446.0,14
2016,Kyrgyzstan,KGZ,443.0,8
2016,Bahrain,BHR,371.0,5
2016,Cuba,CUB,330.0,11
2016,Estonia,EST,315.0,14
2016,Qatar,QAT,309.0,6
2016,Guatemala,GTM,295.0,5
2016,Trinidad and Tobago,TTO,290.0,12
2016,Iceland,ISL,246.0,16
2016,Cambodia,KHM,226.0,6
2016,Paraguay,PRY,225.0,10
2016,Liechtenstein,LIE,204.0,14
2016,Saudi Arabia,SAU,177.0,12
2016,Curaçao,CUW,104.0,6
2016,Hong Kong,HKG,86.0,5
2016,Suriname,SUR,38.0,1
2016,Cayman Islands,CYM,37.0,2
2016,Lesotho,LSO,36.0,3
2016,Madagascar,MDG,34.0,3
2016,Uzbekistan,UZB,26.0,1
2016,Turkmenistan,TKM,26.0,2
2016,Bahamas,BHS,21.0,2
2016,Jamaica,JAM,16.0,2
2016,Guyana,GUY,7.0,1
2016,Fiji,FJI,7.0,1
2016,Sint Maarten,SXM,5.0,1
