node,node_type,degree,in_strength,out_strength,betweenness
Origin: Gambia,origin,4,0.0,18314.0,0.0
Origin: Bangladesh,origin,11,0.0,18266.0,0.0
Origin: Zimbabwe,origin,6,0.0,17524.0,0.0
Origin: Niger,origin,1,0.0,14678.0,0.0
Origin: India,origin,8,0.0,14190.0,0.0
Origin: Honduras,origin,4,0.0,13822.0,0.0
Origin: Indonesia,origin,4,0.0,13011.0,0.0
Origin: Guatemala,origin,2,0.0,11913.0,0.0
Origin: Cambodia,origin,1,0.0,11566.0,0.0
Origin: Bhutan,origin,1,0.0,11213.0,0.0
Origin: Nepal,origin,3,0.0,10549.0,0.0
Origin: Mexico,origin,2,0.0,10263.0,0.0
Origin: Albania,origin,6,0.0,10192.0,0.0
Origin: Egypt,origin,7,0.0,9902.0,0.0
Origin: Azerbaijan,origin,4,0.0,8158.0,0.0
Origin: Republic of the Congo,origin,4,0.0,8113.0,0.0
Origin: Cameroon,origin,5,0.0,8105.0,0.0
Origin: Georgia,origin,5,0.0,8029.0,0.0
Origin: Libya,origin,8,0.0,7426.0,0.0
Origin: Togo,origin,6,0.0,7308.0,0.0
Origin: Laos,origin,1,0.0,6841.0,0.0
Origin: North Macedonia,origin,1,0.0,6057.0,0.0
Origin: Malaysia,origin,1,0.0,5793.0,0.0
Origin: Mozambique,origin,3,0.0,5608.0,0.0
Origin: Kenya,origin,2,0.0,5198.0,0.0
Origin: Armenia,origin,5,0.0,5183.0,0.0
Origin: Sierra Leone,origin,4,0.0,5017.0,0.0
Origin: Cuba,origin,4,0.0,4963.0,0.0
Origin: Liberia,origin,5,0.0,4230.0,0.0
Origin: Algeria,origin,2,0.0,4017.0,0.0
Origin: Morocco,origin,2,0.0,3842.0,0.0
Origin: Moldova,origin,2,0.0,3434.0,0.0
Origin: Malawi,origin,1,0.0,3396.0,0.0
Origin: Lebanon,origin,4,0.0,3121.0,0.0
Origin: Mongolia,origin,3,0.0,2527.0,0.0
Origin: Uzbekistan,origin,2,0.0,2145.0,0.0
Origin: Tajikistan,origin,1,0.0,2112.0,0.0
Origin: Romania,origin,1,0.0,2041.0,0.0
Origin: Peru,origin,1,0.0,1992.0,0.0
Origin: Nicaragua,origin,2,0.0,1958.0,0.0
Origin: Burkina Faso,origin,2,0.0,1631.0,0.0
Origin: Dominican Republic,origin,2,0.0,1619.0,0.0
Origin: Hungary,origin,1,0.0,1502.0,0.0
Origin: Jamaica,origin,2,0.0,1422.0,0.0
Origin: Saint Vincent and the Grenadines,origin,1,0.0,1285.0,0.0
Origin: Kyrgyzstan,origin,1,0.0,1089.0,0.0
Origin: Jordan,origin,1,0.0,1086.0,0.0
Origin: Saint Lucia,origin,1,0.0,968.0,0.0
Origin: Belarus,origin,1,0.0,955.0,0.0
Origin: Namibia,origin,1,0.0,924.0,0.0
Origin: Montenegro,origin,1,0.0,915.0,0.0
Origin: Guinea-Bissau,origin,1,0.0,903.0,0.0
Origin: Tunisia,origin,1,0.0,856.0,0.0
Origin: Czechia,origin,1,0.0,811.0,0.0
Origin: Ecuador,origin,1,0.0,745.0,0.0
Origin: Poland,origin,1,0.0,691.0,0.0
Origin: Lesotho,origin,1,0.0,688.0,0.0
Origin: Kazakhstan,origin,1,0.0,658.0,0.0
Origin: Brazil,origin,1,0.0,594.0,0.0
Origin: Kuwait,origin,1,0.0,588.0,0.0
Origin: Djibouti,origin,1,0.0,587.0,0.0
Origin: North Korea,origin,1,0.0,585.0,0.0
